section,rule_id,pathway_stage,condition,required_facts,missing_data_behavior,provisional_outcome,timing_destination,care_setting,automation_boundary,reviewer_requirement,source_document,source_reference,update_status,implementation_note,safety_priority
Figure 4,F4-03,Follow-up,12-month repeat: HPV 16/18,HPV genotype,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer directly to colposcopy,Referral,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 4,F4-04,Follow-up,12-month repeat: HPV Other + cytology >=ASC-H or other high-grade/glandular abnormality,HPV; cytology subtype,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy; atypical endometrial cells may require specialist gynaecology,Referral,Specialist gynaecology,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 4,F4-05,Follow-up,12-month repeat: HPV Other + negative/ASC-US/LSIL; immune deficient,HPV; cytology; immune status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,Referral,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 4,F4-06,Follow-up,12-month repeat: HPV Other + negative/ASC-US/LSIL; immune competent,HPV; cytology; immune status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat HPV/cytology using LBC in another 12 months,24 months post-discharge,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 4,F4-07,Follow-up,24-month repeat: HPV not detected,HPV result; repeat-stage,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Return to regular interval screening: 5 years if immune competent or 3 years if verified immune deficient.,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 4,F4-08,Follow-up,"24-month repeat: HPV detected any type, any cytology",HPV result; repeat-stage,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 4; R6.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 4,F4-09,Overlay / modifier,"Type 3 TZ, HPV positive, low-grade cytology, normal colposcopy",TZ type; HPV; cytology; colposcopy,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Observation is appropriate; MDM cytological review is not required under the 2026 update,Follow Figure 4 surveillance,Reviewer-confirmed pathway,Deterministic provisional,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R6.05,2026 controlling update,Supersedes 2023 R6.05,MEDIUM
Figure 4,F4-10,Overlay / modifier,Type 3 TZ with no cytological/colposcopic/histological high-grade evidence,TZ type; all findings,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Do not routinely perform diagnostic excision,,Reviewer-confirmed pathway,Clinician judgement,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 4,F4-11,Overlay / modifier,"Type 3 TZ and selected concerns: completed child-bearing, anxiety, age >50, uncertain attendance",TZ type; age; fertility; attendance concern; preference,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Diagnostic excision may be offered,,Reviewer-confirmed pathway,Clinician-only/shared decision,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 4,F4-12,Overlay / modifier,Persistent ASC-US/LSIL with Type 3 TZ,Persistent cytology; TZ type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,ECC may be considered; a negative ECC is not reassuring,,Reviewer-confirmed pathway,Clinician-only,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.07,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 4,F4-13,Sample handling,12-month repeat is HPV Other from swab,HPV result; sample type,Do not default unknown to false or normal; stop and request information or clinician review.,Return for clinical examination and clinician-taken LBC before cytology-based routing.,As soon as practicable,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Fig. 4 p45,2023 base rule,Adds source-visible sample acquisition node.,HIGH
Figure 4,F4-14,Glandular exception,HPV Other + atypical endometrial cells without another cervical colposcopy indication,Exact cytology subtype; co-existing abnormalities,Do not default unknown to false or normal; stop and request information or clinician review.,Refer to specialist gynaecology rather than generic colposcopy.,Specialist assessment,Specialist gynaecology,Specialist-led,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R6.03 / R4.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 4,F4-15,Post-colposcopy repeat,Cytology suspicious of or definite for invasive cancer at a Figure 4 follow-up event,Exact cytology; HPV; referral status,Do not default unknown to false or normal; stop and request information or require clinician review.,Urgent colposcopic/specialist assessment; do not treat as ordinary ≥ASC-H referral.,Urgent / within 2 weeks where source applies,Urgent specialist assessment,Safety escalation,Mandatory specialist confirmation,NCSP June 2023 v1.1,R4.05/R4.07 applied to repeat event,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 4,F4-16,Post-colposcopy repeat overlay,"Any Figure 4 12- or 24-month event has invalid/unsuitable HPV, unsatisfactory cytology, or atypical/malignant endometrial cytology",Event stage; HPV validity; cytology adequacy; exact cytology; previous unsatisfactory count,Do not default unknown to false or normal; stop and request information or require clinician review.,Apply Section 3 and endometrial specialist overlays before ordinary Figure 4 branch evaluation.,,Primary/community or specialist care,Safety overlay,Mandatory clinician confirmation,NCSP June 2023 v1.1,Section 3; Figure 4,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 5,F5-01,Decision branch,HPV detected any type + cytology >=ASC-H + normal colposcopy,HPV; cytology; TZ type; visible lesion; colposcopy,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,MDM/cytopathology review before deciding treatment,,Reviewer-confirmed pathway,Mandatory clinician/MDM review,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 5 p47; R6.08-R6.16,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 5,F5-02,Decision branch,MDM downgrades cytology to LSIL/ASC-US/negative,MDM outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Follow amended low-grade pathway, generally repeat HPV in 12 months",12 months,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 5; R6.10/R6.14,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 5,F5-03,Decision branch,MDM upgrades/confirms HSIL,MDM outcome; TZ type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Follow HSIL pathway; diagnostic excision/treatment recommended,,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 5; R6.11-R6.13,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 5,F5-04,Decision branch,"Confirmed ASC-H, Type 1/2 TZ, no visible lesion",MDM-confirmed cytology; TZ; lesion status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Consider diagnostic excision; observation is an option after informed discussion,,Reviewer-confirmed pathway,Specialist/shared decision,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.08-R6.09,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 5,F5-05,Decision branch,Confirmed ASC-H with treatment deferred,Documented informed decision,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Repeat HPV, cytology and colposcopy",6 months,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.09,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 5,F5-06,Follow-up,After observation: abnormal cytology and/or visible lesion; isolated HPV detection with negative cytology and normal colposcopy is excluded,6-month results; lesion status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Specialist reassessment; diagnostic excision or treatment should be reconsidered. Isolated HPV detection with negative cytology and normal colposcopy follows F5-07.,,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 5,2023 base rule,Corrected to avoid treating HPV detection alone as an automatic treatment indication.,HIGH
Figure 5,F5-07,Follow-up,"After observation: HPV detected, normal colposcopy, negative cytology",6-month results,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Repeat colposcopy, HPV and cytology",12 months,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 5,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 5,F5-08,Follow-up,"After observation: HPV not detected, negative cytology, no visible lesion/unchanged impression",6-month results,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat co-test in 12 months. Return to regular interval screening only after the subsequent co-test is again HPV not detected with negative cytology and the specialist surveillance sequence is complete.,12 months,Primary/community care or programme follow-up,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 5; R6.09,2023 base rule,Keep this surveillance sequence distinct from post-treatment Figure 6 Test of Cure unless clinical governance explicitly maps them.,MEDIUM
Figure 5,F5-09,Overlay / modifier,Type 3 TZ with ASC-H/HSIL confirmed on review,TZ type; reviewed cytology,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Diagnostic excision of TZ,,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R6.15-R6.16,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 5,F5-10,Pre-excision safety,Diagnostic excision being considered after high-grade cytology and normal cervical colposcopy,Vaginal colposcopic examination; acetic acid/Lugol use; VAIN exclusion,Do not default unknown to false or normal; stop and request information or clinician review.,Complete full vaginal/lower-genital-tract colposcopic examination before proceeding.,Before excision,Colposcopy service,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R5.04; R6.08,2023 base rule,Safety step absent from simplified figure.,HIGH
Figure 5,F5-11,Shared decision,"Confirmed ASC-H, Type 1/2 TZ, no visible lesion; observation selected",Informed discussion; fertility/pregnancy concerns; specialist plan,Do not default unknown to false or normal; stop and request information or clinician review.,Observation may begin only after the informed treatment-deferral plan is documented.,Before 6-month surveillance,Specialist colposcopy,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R6.09,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 5,F5-12,Post-excision router,Diagnostic excision completed,Histology result; margins; invasion status,Do not default unknown to false or normal; stop and request information or clinician review.,Route by histology: benign/no high-grade -> MDM surveillance; LSIL -> low-grade pathway; HSIL treated -> Figure 6; AIS -> Figure 7/AIS follow-up; invasive disease -> oncology.,After histology,Specialist pathway,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R5.13; Sec. 6-9,Software-safe source synthesis,Prevents automatic excision -> Figure 6.,CRITICAL
Figure 6,F6-01,Entry,Participant is eligible for Test of Cure after treated HSIL/CIN2/3 or another guideline-defined high-grade squamous follow-up episode,ToC eligibility basis; treatment status; treatment date when applicable; treatment modality; histology/history; cervix status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Perform HPV and cytology co-testing according to the applicable ToC schedule.,6 months post-treatment,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 6 p56; R8.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-02,Decision branch,6-month co-test: HPV not detected + cytology negative,HPV; cytology; treatment date,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat co-test,12 months later / 18 months post-treatment,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 6; R8.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 6,F6-03,Decision branch,Two consecutive co-tests both HPV not detected and cytology negative,Longitudinal co-test sequence,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure complete; return to regular interval screening,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R8.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-04,Decision branch,"Any HPV detected at any Test-of-Cure event, any cytology",HPV result; ToC status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 6; R8.07,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-05,Decision branch,"ASC-H/HSIL or any glandular cytology during Test of Cure, regardless of HPV",Cytology; HPV,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R8.08,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-06,Decision branch,HPV not detected + first low-grade cytology during Test of Cure,HPV; cytology; prior ToC results,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat HPV and cytology,12 months,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 6; R8.07,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,MEDIUM
Figure 6,F6-07,Decision branch,HPV not detected + two consecutive low-grade cytology results,Longitudinal cytology sequence,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,,Colposcopy service,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,R8.07,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-08,Decision branch,"After a low-grade event, next co-test HPV not detected + cytology negative",Longitudinal sequence,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Continue Test of Cure until the required two consecutive negative co-tests are achieved,,Primary/community care or programme follow-up,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 6,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-09,Overlay / modifier,Clear excision margins after HSIL treatment,Margin status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure may be performed in primary/community care,6 and 18 months,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP Clinical Practice Guidelines June 2023 v1.1,2023 R8.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-10,Overlay / modifier,Positive margins after HSIL treatment and age <50,Age/DOB; margin status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Test of Cure follow-up can be in primary/community care,6 and 18 months,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R8.06,2026 controlling update,Supersedes 2023 requirement for colposcopy-clinic follow-up,HIGH
Figure 6,F6-11,Overlay / modifier,Positive/incomplete margins after HSIL treatment and age >=50,Age/DOB; margin status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Follow-up remains in colposcopy clinic unless later guidance/local governance says otherwise,6 and 18 months,Colposcopy service,Clinician-led,Mandatory clinician/specialist confirmation,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2023 R8.06; 2026 addendum applies only under 50,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-12,Entry safety,Treatment date absent or treatment not confirmed,Treatment diagnosis; treatment date; margins,Do not default unknown to false or normal; stop and request information or clinician review.,Do not issue a terminal Test-of-Cure disposition; request treatment records.,Immediate,Review queue,Safety stop,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Fig. 6; Sec. 8,Software safety interpretation,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 6,F6-13,Result quality,HPV invalid/unsuitable or cytology unsatisfactory during Test of Cure,HPV validity; cytology adequacy; genotype,Do not default unknown to false or normal; stop and request information or clinician review.,Apply Section 3 repeat/colposcopy rules; do not count the event as a qualifying negative ToC result.,ASAP or 6 weeks-3 months as applicable,ToC pathway,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 3; Fig. 6,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-14,ToC entry,Treatment modality and margin applicability,"Treatment modality: excision, ablation, hysterectomy, or no documented treatment/historical high-grade follow-up; margin status: clear, positive, unassessable, or not applicable",Do not default unknown to false or normal; stop and request information or require clinician review.,"Use margin-dependent setting rules only when margins exist. Ablation and non-excisional pathways must use margin status “not applicable,” not an inferred clear margin.",,Primary/community or specialist care,Safety/data rule,Mandatory clinician confirmation,NCSP June 2023 v1.1 + 2026 addendum,Section 8; R8.06; R8.12; R2.07,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 6,F6-15,ToC eligibility,Historical high-grade squamous abnormality requiring ToC even when histological confirmation or treatment documentation is incomplete,Prior high-grade result; treatment/history records; current follow-up status; specialist plan,Do not default unknown to false or normal; stop and request information or require clinician review.,Route to clinician-confirmed ToC eligibility and obtain missing records. Do not exclude the participant solely because a histology or excision-margin field is absent.,,Clinician-confirmed follow-up,Clinician-only,Mandatory clinician confirmation,NCSP June 2023 v1.1,R8.12; R2.07,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 6,F6-16,ToC repeat overlay,"Any ToC event has invalid/unsuitable HPV, unsatisfactory cytology, or atypical/malignant endometrial cytology",Event stage; HPV validity; cytology adequacy; exact cytology; prior sequence,Do not default unknown to false or normal; stop and request information or require clinician review.,Apply Section 3 and specialist endometrial rules before counting or completing the ToC sequence. The event cannot count as a qualifying negative.,,Primary/community or specialist care,Safety overlay,Mandatory clinician confirmation,NCSP June 2023 v1.1,Section 3; Figure 6,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 7,F7-01,Decision branch,AG2 atypical endometrial cells or AC2 endometrial adenocarcinoma,Exact glandular subtype; co-existing cervical abnormality,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to specialist gynaecology,Urgent if malignant,Specialist gynaecology,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7 p59; R9.01/R9.10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-02,Decision branch,"AG1, AG3-AG5, AIS, AC1, AC3 or AC4",Exact glandular subtype,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to colposcopy,,Colposcopy service,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.01,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-03,Decision branch,No visible lesion at colposcopy,Colposcopy lesion status; TZ type,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,MDM case review,,Reviewer-confirmed pathway,Mandatory MDM,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.02,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-04,Decision branch,"No visible lesion; cytology confirmed, not AG2",MDM/cytology review outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,"Type 3 diagnostic excision, with D&C or appropriate endometrial assessment where indicated by the confirmed glandular category and specialist plan.",,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.03/R9.08,2023 base rule,R9.03 supplements the figure terminal box.,HIGH
Figure 7,F7-05,Decision branch,No visible lesion; AG2 confirmed,MDM/cytology review outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Investigate other gynaecological malignancies,,Specialist gynaecology,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.03,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-06,Decision branch,No visible lesion; cytology not confirmed,MDM outcome,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Repeat colposcopy,6 months,Colposcopy service,Mandatory MDM,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.04,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-07,Decision branch,Visible lesion; biopsy confirms AIS,Biopsy result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Type 3 excision,,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.06/R9.09,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-08,Decision branch,Visible lesion; biopsy consistent with cancer,Biopsy result,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Refer to gynaecological oncologist,Urgent,Gynaecological oncology / MDT,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,Fig. 7; R9.07/R9.10,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 7,F7-09,Overlay / modifier,"HPV-detected AIS, clear excision margins",Pre-treatment HPV; histology; margins; treatment date,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Primary/community-care co-tests at 6 and 18 months. Any HPV detected or abnormal cytology during follow-up requires colposcopic assessment.,6 and 18 months,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP guideline addendum v1.0 (2 Feb 2026) + June 2023 base,2026 addendum R9.14,2026 controlling update,2026 R9.14 controls the care setting.,HIGH
Figure 7,F7-10,Overlay / modifier,AIS incompletely excised or margins unassessable,Margin site/status,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Further excision to obtain adequate margins,,Reviewer-confirmed pathway,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R9.15,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-11,Overlay / modifier,HPV-negative or HPV-status-unknown AIS without qualifying total hysterectomy,Pre-treatment HPV status; hysterectomy/margins,Do not issue a confident terminal outcome when any required fact is unknown; request information or require clinician review.,Annual co-testing for life,Annually,Primary/community care or programme follow-up,Specialist-led,Mandatory clinician/specialist confirmation,NCSP Clinical Practice Guidelines June 2023 v1.1,R2.08/R9.17,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-12,Specialist sidecar,No lower-genital-tract abnormality detected after glandular referral,Imaging/endometrial-assessment status,Do not default unknown to false or normal; stop and request information or clinician review.,Consider upper genital-tract imaging and endometrial assessment under specialist direction.,According to specialist plan,Specialist gynaecology,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R5.09; R9.05,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-13,Pre-treatment check,AIS confirmed without prior HPV testing,Pre-treatment HPV status,Do not default unknown to false or normal; stop and request information or clinician review.,Obtain HPV status before treatment where applicable.,Before treatment,Specialist colposcopy,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,R9.06,2023 base rule,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
Figure 7,F7-14,Post-excision router,Type 3 excision completed for glandular abnormality,Histology; margins; HPV status; invasion,Do not default unknown to false or normal; stop and request information or clinician review.,Route by histology: benign/no lesion -> MDM surveillance; AIS -> margin/HPV follow-up; invasive adenocarcinoma -> oncology; other pathology -> corresponding specialist pathway.,After histology,Specialist pathway,Clinician-only,Mandatory specialist confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,Sec. 9; Fig. 7,Software-safe source synthesis,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 7,F7-15,AIS follow-up,Clear-margin HPV-detected AIS follow-up has any HPV detected or abnormal cytology,6/18-month co-test results,Do not default unknown to false or normal; stop and request information or clinician review.,Refer for colposcopic assessment; do not continue routine completion.,At abnormal follow-up,Colposcopy service,Deterministic provisional,Mandatory reviewer confirmation,NCSP June 2023 v1.1 + 2026 addendum/immune guidance as applicable,2026 R9.14 + Sec. 9,2026 controlling update,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,CRITICAL
Figure 7,F7-16,AIS follow-up completion,HPV-detected AIS with clear margins has qualifying co-tests at both 6 and 18 months: HPV not detected and cytology negative,Cervix present; margin status; pre-treatment HPV; 6-month HPV/cytology; 18-month HPV/cytology,Do not default unknown to false or normal; stop and request information or require clinician review.,"Complete AIS Test of Cure and return to the applicable regular screening interval when the cervix remains. If total hysterectomy applies, use the vault/cessation pathway instead.",After qualifying 6- and 18-month co-tests,Primary/community care,Deterministic provisional,Reviewer confirmation required,NCSP June 2023 v1.1 + 2026 addendum,R9.14; 2026 addendum,v2.1 QA correction,Provisional recommendation only; reviewer confirmation required; not for direct clinical action.,HIGH
