caseId,figureOrTable,page,recommendationNumbers,expectedActionClass,productionExecutable,productionActionClass,productionCode,productionRisk,productionSafetyOutcome,currentLegacyExecutable,currentLegacyActionClass,currentLegacyCode,canonicalActionClasses,canonicalRecommendation,canonicalTiming,canonicalDestination,canonicalReviewerRequirement,canonicalClinicianOnly,canonicalMatchedRule,productionMatchesSource,currentLegacyMatchesSource,canonicalMatchesSource,classification,flags
F3-SECOND-REPEAT-HPV16-18-COLPOSCOPY,Figure 3,24,R4.04-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-1618-COLP,HIGH,,true,COLPOSCOPY,F3-1618-COLP,COLPOSCOPY,"Refer directly to colposcopy. If swab sample, obtain LBC/cytology at colposcopy",20 or 30 working days according to risk/history; urgent if invasive cytology,Colposcopy service,CLINICIAN_REVIEW,true,F3-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-SECOND-REPEAT-HPV-OTHER-COLPOSCOPY,Figure 3,24,R4.04-R4.12,COLPOSCOPY,true,COLPOSCOPY,F3-SECOND-REPEAT-HPV-DETECTED-COLP,HIGH,,true,COLPOSCOPY,F3-SECOND-REPEAT-HPV-DETECTED-COLP,COLPOSCOPY,Refer to colposcopy irrespective of cytology,After third test event,Colposcopy service,CLINICIAN_REVIEW,true,F3-14,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-INVALID-HPV-REPEAT-ASAP,Figure 3,24,R3.04-R3.06,REPEAT_ASAP,true,REPEAT_HPV,F3-INAD-3M,MEDIUM,,true,REPEAT_HPV,F3-INAD-3M,REPEAT_HPV | REPEAT_ASAP,Repeat HPV test as soon as practicable with no required delay,ASAP,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-18,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-UNSUITABLE-HPV-REPEAT-ASAP,Figure 3,24,R3.04-R3.06,REPEAT_ASAP,false,,,,,false,,,REPEAT_HPV | REPEAT_ASAP,Repeat HPV test as soon as practicable with no required delay,ASAP,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F3-18,false,false,true,CANDIDATE_ADDS_PREVIOUSLY_UNSUPPORTED_STATE,DEPLOYED_INPUT_CONTRACT_GAP | CURRENT_LEGACY_ALSO_CANNOT_EXPRESS | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-HPV-OTHER-FIRST-UNSAT-CYTOLOGY-REPEAT,Figure 3,24,R3.04-R3.06,REPEAT_CYTOLOGY,true,UNMAPPED_ACTUAL:F3-UNMAPPED-COMBINATION,F3-UNMAPPED-COMBINATION,HIGH,CLINICIAN_REVIEW_REQUIRED,true,UNMAPPED_ACTUAL:F3-UNMAPPED-COMBINATION,F3-UNMAPPED-COMBINATION,REPEAT_CYTOLOGY,Repeat LBC cytology no sooner than 6 weeks and no later than 3 months.,6 weeks to 3 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,false,F3-19,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F3-HPV-OTHER-SECOND-UNSAT-CYTOLOGY-COLPOSCOPY,Figure 3,24,R3.04-R3.06,COLPOSCOPY,true,UNMAPPED_ACTUAL:F3-UNMAPPED-COMBINATION,F3-UNMAPPED-COMBINATION,HIGH,CLINICIAN_REVIEW_REQUIRED,true,UNMAPPED_ACTUAL:F3-UNMAPPED-COMBINATION,F3-UNMAPPED-COMBINATION,COLPOSCOPY,Refer to colposcopy after two consecutive unsatisfactory cytology results.,Without avoidable delay,Colposcopy service,MANDATORY_CLINICIAN_CONFIRMATION,false,F3-19,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F3-CYTOLOGY-PENDING-INCOMPLETE,Figure 3,24,R4.01-R4.15,INCOMPLETE_RESULT,true,SAFETY_STOP,F3-HPV-OTHER-CYTOLOGY-REQUIRED,MEDIUM,INSUFFICIENT_INFORMATION,true,SAFETY_STOP,F3-HPV-OTHER-CYTOLOGY-REQUIRED,SAFETY_STOP,Insufficient governed executable rule coverage. Stop automated routing and obtain clinician review.,,,CLINICIAN_REVIEW,true,,false,false,false,REQUIRES_CLINICAL_REVIEW,NO_SYSTEM_MATCHES_SOURCE | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-MISSING-GENOTYPE-SAFETY-STOP,Figure 3,24,R4.01-R4.15,SAFETY_STOP,true,SAFETY_STOP,F3-HPV-REQUIRED,MEDIUM,INSUFFICIENT_INFORMATION,true,SAFETY_STOP,F3-HPV-REQUIRED,SAFETY_STOP,Insufficient governed executable rule coverage. Stop automated routing and obtain clinician review.,,,CLINICIAN_REVIEW,true,,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-MISSING-SAMPLE-TYPE-SAFETY-STOP,Figure 3,24,R4.01-R4.15,SAFETY_STOP,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,SAFETY_STOP,Insufficient governed executable rule coverage. Stop automated routing and obtain clinician review.,,,CLINICIAN_REVIEW,true,,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-FIRST-REPEAT-MISSING-AGE-SAFETY-STOP,Figure 3,24,R4.01-R4.15,SAFETY_STOP,true,SAFETY_STOP,F3-FIRST-REPEAT-AGE-REQUIRED,MEDIUM,INSUFFICIENT_INFORMATION,true,SAFETY_STOP,F3-FIRST-REPEAT-AGE-REQUIRED,SAFETY_STOP,Insufficient governed executable rule coverage. Stop automated routing and obtain clinician review.,,,CLINICIAN_REVIEW,true,,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F3-HPV-NOT-DETECTED-UNKNOWN-IMMUNE-SAFETY-STOP,Figure 3,24,R4.01-R4.15,SAFETY_STOP,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,LOW,,true,ROUTINE_RECALL,F3-HPV-NOT-DETECTED-5Y,SAFETY_STOP,Insufficient governed executable rule coverage. Stop automated routing and obtain clinician review.,,,CLINICIAN_REVIEW,true,,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-NORMAL-COLPOSCOPY-INITIAL-REPEAT-12M,Figure 4,45,R6.03-R6.07,REPEAT_HPV,true,REPEAT_HPV,F4-NORMAL-COLP-REPEAT-HPV-12M,MEDIUM,,true,REPEAT_HPV,F4-NORMAL-COLP-REPEAT-HPV-12M,REPEAT_HPV,Repeat HPV test in community care using LBC,12 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F4-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-REPEAT-HPV-NOT-DETECTED-REGULAR-5Y,Figure 4,45,R6.03-R6.07,ROUTINE_RECALL,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,LOW,,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,ROUTINE_RECALL,Return to regular interval screening: 5 years if immune competent or 3 years if verified immune deficient.,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F4-02,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-REPEAT-HPV-NOT-DETECTED-IMMUNE-3Y,Figure 4,45,R6.03-R6.07,ROUTINE_RECALL,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,LOW,,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,ROUTINE_RECALL,Return to regular interval screening: 5 years if immune competent or 3 years if verified immune deficient.,5 years or 3 years if immune deficient,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F4-02,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION | GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-REPEAT-HPV16-18-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-REPEAT-1618-COLP,HIGH,,true,COLPOSCOPY,F4-REPEAT-1618-COLP,COLPOSCOPY,Refer directly to colposcopy,Referral,Colposcopy service,CLINICIAN_REVIEW,true,F4-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-HPV-OTHER-ASC-H-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F4-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F4-HPV-OTHER-HSIL-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F4-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F4-HPV-OTHER-SCC-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Urgent colposcopic/specialist assessment; do not treat as ordinary ≥ASC-H referral.,Urgent / within 2 weeks where source applies,Urgent colposcopy/specialist assessment,SPECIALIST_REVIEW,false,F4-15,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F4-HPV-OTHER-ATYPICAL-GLANDULAR-COLPOSCOPY,Figure 4,45,R6.03-R6.07,GLANDULAR_SPECIALIST_ROUTE,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,GYNAECOLOGY | COLPOSCOPY,Refer to colposcopy or the applicable glandular specialist pathway.,Referral,Colposcopy or specialist gynaecology,SPECIALIST_REVIEW,true,F4-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F4-HPV-OTHER-AIS-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy under the AIS pathway.,Referral,Colposcopy service,CLINICIAN_REVIEW,false,F4-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F4-HPV-OTHER-ADENOCARCINOMA-COLPOSCOPY,Figure 4,45,R6.03-R6.07,GLANDULAR_SPECIALIST_ROUTE,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-HIGH-GRADE-COLP,GYNAECOLOGY | COLPOSCOPY,Refer to colposcopy or the applicable glandular specialist pathway.,Referral,Colposcopy or specialist gynaecology,SPECIALIST_REVIEW,true,F4-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F4-HPV-OTHER-NEGATIVE-SECOND-REPEAT-12M,Figure 4,45,R6.03-R6.07,SECOND_REPEAT_HPV,true,SECOND_REPEAT_HPV,F4-HPV-OTHER-LOW-GRADE-SECOND-REPEAT,MEDIUM,,true,SECOND_REPEAT_HPV,F4-HPV-OTHER-LOW-GRADE-SECOND-REPEAT,REPEAT_HPV | SECOND_REPEAT_HPV,Repeat HPV/cytology using LBC in another 12 months,Repeat in 12 months (24 months post-discharge),Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F4-06,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-HPV-OTHER-NEGATIVE-IMMUNE-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-LOW-GRADE-IC-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-LOW-GRADE-IC-COLP,COLPOSCOPY,Refer to colposcopy,Referral,Colposcopy service,CLINICIAN_REVIEW,true,F4-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-HPV-OTHER-ASC-US-SECOND-REPEAT-12M,Figure 4,45,R6.03-R6.07,SECOND_REPEAT_HPV,true,SECOND_REPEAT_HPV,F4-HPV-OTHER-LOW-GRADE-SECOND-REPEAT,MEDIUM,,true,SECOND_REPEAT_HPV,F4-HPV-OTHER-LOW-GRADE-SECOND-REPEAT,REPEAT_HPV | SECOND_REPEAT_HPV,Repeat HPV/cytology using LBC in another 12 months,Repeat in 12 months (24 months post-discharge),Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F4-06,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-HPV-OTHER-ASC-US-IMMUNE-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-LOW-GRADE-IC-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-LOW-GRADE-IC-COLP,COLPOSCOPY,Refer to colposcopy,Referral,Colposcopy service,CLINICIAN_REVIEW,true,F4-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-HPV-OTHER-LSIL-SECOND-REPEAT-12M,Figure 4,45,R6.03-R6.07,SECOND_REPEAT_HPV,true,SECOND_REPEAT_HPV,F4-HPV-OTHER-LOW-GRADE-SECOND-REPEAT,MEDIUM,,true,SECOND_REPEAT_HPV,F4-HPV-OTHER-LOW-GRADE-SECOND-REPEAT,REPEAT_HPV | SECOND_REPEAT_HPV,Repeat HPV/cytology using LBC in another 12 months,Repeat in 12 months (24 months post-discharge),Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F4-06,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-HPV-OTHER-LSIL-IMMUNE-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-HPV-OTHER-LOW-GRADE-IC-COLP,HIGH,,true,COLPOSCOPY,F4-HPV-OTHER-LOW-GRADE-IC-COLP,COLPOSCOPY,Refer to colposcopy,Referral,Colposcopy service,CLINICIAN_REVIEW,true,F4-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-SECOND-REPEAT-HPV16-18-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-REPEAT-1618-COLP,HIGH,,true,COLPOSCOPY,F4-REPEAT-1618-COLP,COLPOSCOPY,Refer to colposcopy,,Colposcopy service,CLINICIAN_REVIEW,true,F4-08,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-SECOND-REPEAT-HPV-OTHER-COLPOSCOPY,Figure 4,45,R6.03-R6.07,COLPOSCOPY,true,COLPOSCOPY,F4-SECOND-REPEAT-HPV-DETECTED-COLP,HIGH,,true,COLPOSCOPY,F4-SECOND-REPEAT-HPV-DETECTED-COLP,COLPOSCOPY,Refer to colposcopy,,Colposcopy service,CLINICIAN_REVIEW,true,F4-08,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F4-SECOND-REPEAT-NOT-DETECTED-REGULAR-5Y,Figure 4,45,R6.03-R6.07,ROUTINE_RECALL,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,LOW,,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,ROUTINE_RECALL,Return to regular screening in 5 years.,5 years,Primary/community care or programme follow-up,CLINICIAN_REVIEW,false,F4-07,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F4-SECOND-REPEAT-NOT-DETECTED-IMMUNE-3Y,Figure 4,45,R6.03-R6.07,ROUTINE_RECALL,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,LOW,,true,REPEAT_HPV,F4-REPEAT-HPV-NOT-DETECTED-REGULAR,ROUTINE_RECALL,Return for screening in 3 years.,3 years,Primary/community care or programme follow-up,CLINICIAN_REVIEW,false,F4-07,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F4-TYPE3-LOW-GRADE-NORMAL-COLPOSCOPY-NO-MDM,Figure 4,45,R6.05,NO_MDM_CONTINUE_F4,true,REPEAT_HPV,F4-NORMAL-COLP-REPEAT-HPV-12M,MEDIUM,,true,REPEAT_HPV,F4-NORMAL-COLP-REPEAT-HPV-12M,MDM_REVIEW | NO_MDM_CONTINUE_F4,Observation is appropriate; MDM cytological review is not required under the 2026 update,12-month repeat under Figure 4 surveillance,Reviewer-confirmed pathway,CLINICIAN_REVIEW,false,F4-09,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F5-MDM-PENDING-REVIEW,Figure 5,47,R6.08-R6.16,MDM_REVIEW,true,MDM_REVIEW,F5-MDM-REQUIRED,HIGH,,true,MDM_REVIEW,F5-MDM-REQUIRED,MDM_REVIEW,MDM/cytopathology review before deciding treatment,,Reviewer-confirmed pathway,MDM_REVIEW,true,F5-01,true,true,true,THREE_WAY_EXACT_AGREEMENT,
F5-MDM-DOWNGRADED-LSIL-PATHWAY,Figure 5,47,R6.08-R6.16,ROUTE_LSIL,true,MDM_REVIEW,F5-MDM-DOWNGRADED-LSIL,MEDIUM,,true,MDM_REVIEW,F5-MDM-DOWNGRADED-LSIL,ROUTE_LSIL | REPEAT_HPV,"Follow amended low-grade pathway, generally repeat HPV in 12 months",12 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F5-02,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F5-MDM-UPGRADED-HSIL-PATHWAY,Figure 5,47,R6.08-R6.16,ROUTE_HSIL,true,COLPOSCOPY,F5-MDM-UPGRADED-HSIL-TREAT,HIGH,,true,COLPOSCOPY,F5-MDM-UPGRADED-HSIL-TREAT,ROUTE_HSIL | TREATMENT,Follow HSIL pathway; diagnostic excision/treatment recommended,,Reviewer-confirmed pathway,SPECIALIST_REVIEW,true,F5-03,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F5-CONFIRMED-ASC-H-TREATMENT-RECOMMENDED,Figure 5,47,R6.08-R6.16,SPECIALIST_TREATMENT_DECISION_REQUIRED,true,COLPOSCOPY,F5-CONFIRMED-ASCH-TREAT,HIGH,,true,COLPOSCOPY,F5-CONFIRMED-ASCH-TREAT,COLPOSCOPY | TREATMENT | SPECIALIST_TREATMENT_DECISION_REQUIRED,Consider diagnostic excision; observation is an option after informed discussion,,Colposcopy/specialist decision service,SPECIALIST_REVIEW,true,F5-04,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F5-TREATMENT-DEFERRED-ABNORMAL-TREATMENT,Figure 5,47,R6.08-R6.16,TREATMENT,true,COLPOSCOPY,F5-CONFIRMED-ASCH-TREAT,HIGH,,true,COLPOSCOPY,F5-CONFIRMED-ASCH-TREAT,COLPOSCOPY | TREATMENT,Specialist reassessment; diagnostic excision or treatment should be reconsidered. Isolated HPV detection with negative cytology and normal colposcopy follows F5-07.,,Colposcopy service,SPECIALIST_REVIEW,true,F5-06,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F5-TREATMENT-DEFERRED-HPV-NOT-DETECTED-TOC,Figure 5,47,R6.08-R6.16,FIGURE_5_COTEST_SURVEILLANCE,true,TEST_OF_CURE,F5-CONFIRMED-ASCH-HPV-NEG-NO-LESION-TOC,LOW,,true,TEST_OF_CURE,F5-CONFIRMED-ASCH-HPV-NEG-NO-LESION-TOC,ROUTINE_RECALL | REPEAT_COTEST | FIGURE_5_COTEST_SURVEILLANCE,Repeat co-test in 12 months. Return to regular interval screening only after the subsequent co-test is again HPV not detected with negative cytology and the specialist surveillance sequence is complete.,12 months,Primary/community care or programme follow-up,SPECIALIST_REVIEW,true,F5-08,false,false,true,CANDIDATE_FIXES_CONFIRMED_LEGACY_DEFECT,CONFIRMED_LEGACY_DEFECT_PRESENT_IN_PRODUCTION
F5-TREATMENT-DEFERRED-HPV-DETECTED-NORMAL-12M,Figure 5,47,R6.08-R6.16,REPEAT_COLPOSCOPY_COTEST,true,UNMAPPED_ACTUAL:F5-CONFIRMED-ASCH-HPV-DETECTED-NORMAL-NEG-12M,F5-CONFIRMED-ASCH-HPV-DETECTED-NORMAL-NEG-12M,MEDIUM,,true,UNMAPPED_ACTUAL:F5-CONFIRMED-ASCH-HPV-DETECTED-NORMAL-NEG-12M,F5-CONFIRMED-ASCH-HPV-DETECTED-NORMAL-NEG-12M,COLPOSCOPY | REPEAT_COLPOSCOPY,"Repeat colposcopy, HPV and cytology",12 months,Colposcopy service,SPECIALIST_REVIEW,true,F5-07,false,false,false,REQUIRES_CLINICAL_REVIEW,NO_SYSTEM_MATCHES_SOURCE
F6-CIN2-UNDER30-ELIGIBLE-ACTIVE-SURVEILLANCE,Figure 6,4,R8.03,CIN2_ACTIVE_SURVEILLANCE,false,,,,,false,,,COLPOSCOPY | MDM_REVIEW | CIN2_ACTIVE_SURVEILLANCE,"MDM review. If CIN2 confirmed and participant agrees, active surveillance with colposcopy/cytology every 6 months up to 24 months","6, 12, 18, 24 months",Colposcopy service,MDM_REVIEW,true,A26-02,false,false,true,CANDIDATE_ADDS_PREVIOUSLY_UNSUPPORTED_STATE,DEPLOYED_INPUT_CONTRACT_GAP | CURRENT_LEGACY_ALSO_CANNOT_EXPRESS
F6-CIN2-SURVEILLANCE-CIN3-TREAT,Figure 6,4,R8.03,TREATMENT,false,,,,,false,,,TREATMENT,Treatment recommended,Immediate after diagnosis / at 24 months,Reviewer-confirmed pathway,SPECIALIST_REVIEW,true,A26-05,false,false,true,CANDIDATE_ADDS_PREVIOUSLY_UNSUPPORTED_STATE,DEPLOYED_INPUT_CONTRACT_GAP | CURRENT_LEGACY_ALSO_CANNOT_EXPRESS
F6-CIN2-PERSISTS-24M-TREAT,Figure 6,4,R8.03,TREATMENT,false,,,,,false,,,TREATMENT,Treatment recommended,Immediate after diagnosis / at 24 months,Reviewer-confirmed pathway,SPECIALIST_REVIEW,true,A26-05,false,false,true,CANDIDATE_ADDS_PREVIOUSLY_UNSUPPORTED_STATE,DEPLOYED_INPUT_CONTRACT_GAP | CURRENT_LEGACY_ALSO_CANNOT_EXPRESS
F6-CIN2-REGRESSION-TOC,Figure 6,4,R8.03,TEST_OF_CURE,false,,,,,false,,,COLPOSCOPY | TEST_OF_CURE,Discharge from colposcopy with Test of Cure at 12 months,12 months,Colposcopy service,CLINICIAN_REVIEW,true,A26-04,false,false,true,CANDIDATE_ADDS_PREVIOUSLY_UNSUPPORTED_STATE,DEPLOYED_INPUT_CONTRACT_GAP | CURRENT_LEGACY_ALSO_CANNOT_EXPRESS
F6-6M-HPV-DETECTED-COLPOSCOPY,Figure 6,56,R8.04-R8.08,COLPOSCOPY,true,COLPOSCOPY,F6-HPV-DETECTED-ANY-CYTOLOGY-COLP,HIGH,,true,COLPOSCOPY,F6-HPV-DETECTED-ANY-CYTOLOGY-COLP,COLPOSCOPY,Refer to colposcopy,,Colposcopy service,CLINICIAN_REVIEW,true,F6-04,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F6-6M-HPV-NOT-DETECTED-HIGH-GRADE-COLPOSCOPY,Figure 6,56,R8.04-R8.08,COLPOSCOPY,true,COLPOSCOPY,F6-HPV-NEG-HIGH-GRADE-COLP,HIGH,,true,COLPOSCOPY,F6-HPV-NEG-HIGH-GRADE-COLP,COLPOSCOPY,Refer to colposcopy,,Colposcopy service,CLINICIAN_REVIEW,true,F6-05,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F6-6M-HPV-NOT-DETECTED-LOW-GRADE-REPEAT-12M,Figure 6,56,R8.04-R8.08,REPEAT_COTEST,true,REPEAT_COTEST,F6-HPV-NEG-LOW-GRADE-REPEAT-12M,MEDIUM,,true,REPEAT_COTEST,F6-HPV-NEG-LOW-GRADE-REPEAT-12M,REPEAT_HPV | REPEAT_COTEST,Repeat HPV and cytology,12 months,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F6-06,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F6-6M-FIRST-NEGATIVE-REPEAT-12M,Figure 6,56,R8.04-R8.08,REPEAT_COTEST,true,REPEAT_COTEST,F6-FIRST-NEGATIVE-REPEAT-12M,LOW,,true,REPEAT_COTEST,F6-FIRST-NEGATIVE-REPEAT-12M,REPEAT_COTEST,Repeat co-test,12 months later / 18 months post-treatment,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F6-02,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
F6-18M-SECOND-NEGATIVE-COMPLETE,Figure 6,56,R8.04-R8.08,TOC_COMPLETE,true,TOC_COMPLETE,F6-SECOND-NEGATIVE-RETURN-REGULAR,LOW,,true,TOC_COMPLETE,F6-SECOND-NEGATIVE-RETURN-REGULAR,ROUTINE_RECALL | TOC_COMPLETE | TEST_OF_CURE,Test of Cure complete; return to regular interval screening,,Primary/community care or programme follow-up,CLINICIAN_REVIEW,true,F6-03,true,true,true,THREE_WAY_EXACT_AGREEMENT,GOV04_CLINICIAN_ONLY_OVERRESTRICTION_SECONDARY
